cell,vertex,x,y
173,0,-3.75,2.5
173,1,-3.375,2.875
173,2,-3.75,3.625
174,0,-4,2.75
174,1,-3.75,2.5
174,2,-3.75,3.625
175,0,-3.75,-1.25
175,1,-3.625,-1
175,2,-3.75,-0.875
176,0,-3.375,-1.625
176,1,-3.25,-1.125
176,2,-3.375,-1.25
177,0,-3.625,-1.375
177,1,-3.5,-1.5
177,2,-3.625,-1
178,0,-3.625,-0.625
178,1,-3.25,-1.125
178,2,-3.5,-0.5
179,0,-3.75,2.5
179,1,-3.375,1.375
179,2,-3.375,2
180,0,-3.75,0.125
180,1,-3.5,-0.5
180,2,-3.5,0.125
181,0,-3.5,0.125
181,1,-3.375,0.125
181,2,-3.375,0.375
182,0,-3.625,-0.625
182,1,-3.375,-1.125
182,2,-3.25,-1.125
183,0,-4.125,5.375
183,1,-3.625,5
183,2,-3.25,4.75
184,0,-1.375,-0.75
184,1,-0.75,-0.625
184,2,-1.375,-0.125
185,0,-3.75,-0.25
185,1,-3.5,-0.5
185,2,-3.75,0.125
186,0,-3.875,0.375
186,1,-3.75,0.125
186,2,-3.5,0.125
187,0,-3.75,3.875
187,1,-3.375,2.875
187,2,-3.125,3.25
188,0,-3.875,0.375
188,1,-3.5,0.125
188,2,-3.75,0.625
189,0,-3.75,0.625
189,1,-3.5,0.125
189,2,-3.375,0.375
190,0,-3.125,-1.5
190,1,-2.75,-1.75
190,2,-2.875,-1.375
191,0,-3.625,4.75
191,1,-3,4.375
191,2,-3.625,4.875
192,0,-3.25,4.75
192,1,-2.25,4
192,2,-1,3.125
193,0,-3.625,-1
193,1,-3.5,-1.5
193,2,-3.375,-1.25
194,0,-3.875,4.5
194,1,-3.625,4.125
194,2,-3.375,4.125
195,0,-3,4.5
195,1,-2.125,3.875
195,2,-1.75,3.625
196,0,-3.375,-1.25
196,1,-3.25,-1.125
196,2,-3.375,-1.125
197,0,-3.875,5.125
197,1,-3,4.375
197,2,-3.375,4.75
198,0,-3.375,2.875
198,1,-3.125,1.875
198,2,-2.75,2.125
199,0,-3.5,-1.5
199,1,-3.375,-1.625
199,2,-3.375,-1.25
200,0,-3.875,5.125
200,1,-3.625,4.75
200,2,-3.625,4.875
201,0,-3,-0.625
201,1,-2.25,-1
201,2,-2.625,-0.5
202,0,-2.75,2.125
202,1,-2.5,1.625
202,2,-1.75,2.125
203,0,-3.75,2.5
203,1,-3.375,2
203,2,-3.125,1.875
204,0,-3.625,5
204,1,-3.5,4.875
204,2,-3.25,4.75
205,0,-3.75,3.625
205,1,-3.375,2.875
205,2,-3.75,3.875
206,0,-3.875,4.5
206,1,-3.375,4.125
